spanish_tweet,generated_english,corrected_english,is_correct,spanish_translation
@Lauritatimida81 @TERESADINAMICAS Besos!!,@Lauritatimida81 @TERESADINAMICAS Kisses!!,@Lauritatimida81 @TERESADINAMICAS Kisses!!,True,
"Visita a la Sec. Diurna #130 en la Col. Ajusco, en donde escuchamos las necesidades de la misma y Canalizamos la atención necesaria a las Áreas correspondientes. Para el mejoramiento de la escuela. #TuConcejalaTeEscucha #CoyoacánEstáContigo _URL","Visit to Sec. Diurna #130 at Col. Ajusco, where we listen to the needs of the same and channel the necessary attention to the corresponding areas. For the improvement of the school. #TuConcejalaListen #CoyoacánIt is with you _URL","Visited Sec. Diurna #130 at Col. Ajusco, where we listened to the needs of the school and directed the necessary attention to the corresponding areas. For the improvement of your school. #TuConcejalaTeEscucha #CoyoacánEstáContigo _URL",False,
#SalarioRosaEdomex es un gran apoyo para las mujeres mexicanas,#SalarioRosaEdomex is a great support for Mexican women,#SalarioRosaEdomex is a great support for Mexican women,True,
Recuerdo lo que vivió Colombia con Pablo Escobar Todo llega a su fin y Sinaloa no es excepción !,I remember what Colombia lived with Pablo Escobar Everything comes to an end and Sinaloa is no exception !,I remember what Colombia went through with Pablo Escobar Everything comes to an end and Sinaloa is no exception !,False,"Colombia fue una de las naciones más afectadas por la violencia de Pablo Escobar."
"@Indie5051: Se cumple 1 hora del estreno de Interstellar, una de las mejores películas de la historia https://t.co/u7dktasMs3","@Indie5051: 1 hour after the premiere of Interstellar, one of the best films in history https://t.co/u7dktasMs3","@Indie5051: It's been an hour since E108+E109the premiere of Interstellar, one of the best films in history https://t.co/u7dktasMs3",False,"Es una hora desde que se estrenó Interstellar, uno de los mejores filmes de la historia https://t.co/u7dktasMs3"
"I'm at Cabanna Restaurant - _USR in Miguel Hidalgo, Mexico, Distrito Federal _URL","I'm at Cabanna Restaurant - _USR in Miguel Hidalgo, Mexico, Distrito Federal _URL","I'm at Cabanna Restaurant - _USR in Miguel Hidalgo, Mexico, Distrito Federal _URL",True,
_USR Saludos sin suministro de agua en la colonia ANZURES en Juárez,_USR Greetings without water supply in the colony of ANZURES in Juárez,_USR Greetings without water supply in the ANZURES neighborhood in Juárez,False,
"🤩 #Bañadores ya en _USR ➡Calle Matamoros 917, Barrio Antiguo #Monterrey 📱8117168513 #guadalajara #jalisco #cdmx #mexico #saltillo #Jockstraps #underwear #swimwear #gym #gdl #mty #jal #short #bikinis #thongs #brief #tanga #playera #gaymty #underwearmty #bikini #bañador _URL","#Bañadores ya en _USR #Calle Matamoros 917, Old Town #Monterrey #8117168513 #guadalajara #jalisco #cdmx #mexico #jockstraps #underwear #swimwear #gym #gdl #mty #jal #short #bikinis #thongs #brief #tanga #player #gaymty #underwearmty #bikini #bañador _URL","#Bañadores in _USR #Calle Matamoros 917, Barrio Antiguo #Monterrey 8117168513 #guadalajara #jalisco #cdmx #mexico #saltillo #Jockstraps #underwear #swimwear #gym #gdl #mty #jal #short #bikinis #thongs #brief #tanga #playera #gaymty #underwearmty #bikini #bañador _URL",False,
@Papini74: Habría que ser muy ingenuo para no percatarse de que el supuesto plagio de la ministra @YasminEsquivel_ es un burdo montaje d…,@Papini74: You would have to be very naive not to realize that the supposed plagiarism of the minister @YasminEsquivel_ is a gross montage of...,@Papini74: You would have to be very naive not to realize that the supposed plagiarism of minister @YasminEsquivel_ is a gross setup by...,False,
🚣‍♀️ en Playa Mamitas Qroo _URL,in Playa Mamitas Qroo _URL,at Playa Mamitas Qroo _URL,False,
Pronto muy pronto regreso a #Presenciales en PIB Satélite _URL,Soon I will return to #Presentials in Satellite GDP _URL,Soon very soon I will return to #Presentials in Satellite GDP _URL,False,
Cómo Celebrar un cumpleaños sorpresa? CEL 55 16 54 32 30 Payasos _URL #ComoCelebrarUnCumpleañosSorpresa _URL,How to Celebrate a Surprise Birthday? CEL 55 16 54 32 30 Clowns _URL #How to CelebrateA BirthdaySurprise _URL,How to Celebrate a Surprise Birthday Party ? CELL 55 16 54 32 30 Clowns _URL #ComoCelebrarUnCumpleañosSorpresa _URL,False,
"I'm at La Cabaña Del Borrego Nueva Suc in Zacatecas, ZAC _URL","I'm at La Cabaña Del Borrego Nueva Suc in Zacatecas, ZAC _URL","I'm at La Cabaña Del Borrego Nueva Suc in Zacatecas, ZAC _URL",True,
_USR Puebla??!! Violento??? Ve estadísticas y posicionamiento! Estas mintiendo,_USR Puebla??!! Violent???? See statistics and positioning! You are lying,_USR Puebla??!! Violent???? See statistics and positioning! You are lying,True,
"_USR jaja hasta por tu foto de perfil se te nota que no lo conoces… los burócratas normalmente no trabajan, y menos después de las 3 de la tarde!!! Y menos si juegan las _USR","_USR haja even for your profile photo you notice that you don't know him... bureaucrats usually don't work, and less after 3 o'clock in the afternoon!!! And less if they play the _USR","_USR Ha ja  even for your profile photo you notice that you don't know him... bureaucrats usually don't work,  after 3 o'clock in the afternoon!!! And less if they play the _USR",False,
Huele bn ojete mi septum 😩,Smells like my septum,My septum smells like shit,False,
"Buenos días!!! desde Hidalgo del Parral, Chihi. Venga!!! _URL","Good morning!!! from Hidalgo del Parral, Chihi. Come on!!! _URL","Good morning!!! from Hidalgo del Parral, Chihi. Come on!!! _URL",True,
Hágale un favor a los veracruzanos y al gobernador _USR ¡renuncie! dijo la diputada Citlali Medellín Careaga a _USR titular de la _USR en su comparecencia en la _USR,Do the Veracruzans and the Governor a favor _USR Resign! said Deputy Citlali Medellín Careaga to _USR holder of the _USR in his appearance at the _USR,Do a favor to the Governor and the people of Veracruz  Veracruzans and the Gove _USR Resign! said the legislator  Citlali Medellín Careaga to _USR holder of the _USR in his appearance at the _USR,False,"The Governor of Veracruz has announced that he will resign from his position  The people of Veracruz are in mourning"
_USR La cosa es que siempre hay unos más iguales que otros.,_USR The thing is that there are always some more equal than others.,_USR The thing is that there are always some more the same as others.,False,
"El ""experto"" en economía, que hasta casi hace maestría y doctorado con 14 años de fósil en la #UNAM ...","The ""expert"" in economics, who even almost does master's and Ph.D. with 14 years of fossil at #UNAM ...","The ""expert"" in economics, who almost obtained a master's and Ph.D. with 14 years of of being a student  at #UNAM ...",False,"La ""experta"" en economía, quien casi obtuvo un maestrato y un doctorado con 14 años de estudiante en la #UNAM..."
@TheWitcherSardi: Feliz año! 🥳 https://t.co/bQnNdfh0M8,@TheWitcherSardi: Happy New Year!  https://t.co/bQnNdfh0M8,@TheWitcherSardi: Happy New Year!  https://t.co/bQnNdfh0M8,True,"¡Feliz Año Nuevo!"
"Haber con q m salen hoy (@ ISSSTE Narvarte in Mexico City, Distrito Federal) _URL","Have with q m come out today (@ ISSSTE Narvarte in Mexico City, Federal District) _URL","Lets see with what they come out today (@ ISSSTE Narvarte in Mexico City, Federal District) _URL",False,
"Acaba de publicar una foto en Municipio de El Mante, Tamaulipas, Mexico _URL","Just published a photo in Municipality of El Mante, Tamaulipas, Mexico _URL","Just posted a photo in Municipality of El Mante, Tamaulipas, Mexico _URL",False,"Se ha publicado una foto en la Municipalidad de El Mante, Tamaulipas, México"
